"Symbol","Price1"
"BAYN.DE",44.115
"BAYN.DE",44.12
"BAYN.DE",44.13
"BAYN.DE",44.135
"BAYN.DE",44.165
"BAYN.DE",44.175
"BAYN.DE",44.195
"BAYN.DE",44.21
"BAYN.DE",44.22
"BAYN.DE",44.24
"BAYN.DE",44.29
"BAYN.DE",44.32
"BAYN.DE",44.375
"BAYN.DE",44.39
"BAYN.DE",44.395
"BAYN.DE",44.4
"BAYN.DE",44.415
"BAYN.DE",44.44
"BAYN.DE",44.46
"BAYN.DE",44.47
"BAYN.DE",44.49
"BAYN.DE",44.51
"BAYN.DE",44.53
"BAYN.DE",44.575
"BAYN.DE",44.58
"BAYN.DE",44.59
"BAYN.DE",44.61
"BAYN.DE",44.615
"BAYN.DE",44.62
"BAYN.DE",44.63
"BAYN.DE",44.645
"BAYN.DE",44.7
"BAYN.DE",44.75
"BAYN.DE",44.78
"BAYN.DE",44.8
"BAYN.DE",44.81
"BAYN.DE",44.845
"BAYN.DE",44.855
"BAYN.DE",44.86
"BAYN.DE",44.865
"BAYN.DE",44.89
"BAYN.DE",44.895
"BAYN.DE",44.92
"BAYN.DE",44.99
"BAYN.DE",45.025
"BAYN.DE",45.03
"BAYN.DE",45.045
"BAYN.DE",45.06
"BAYN.DE",45.07
"BAYN.DE",45.095
"BAYN.DE",45.11
"BAYN.DE",45.115
"BAYN.DE",45.2
"BAYN.DE",45.245
"BAYN.DE",45.25
"BAYN.DE",45.32
"BAYN.DE",45.35
"BAYN.DE",45.37
"BAYN.DE",45.4
"BAYN.DE",45.415
"BAYN.DE",45.425
"BAYN.DE",45.5
"BAYN.DE",45.51
"BAYN.DE",45.56
"BAYN.DE",45.575
"BAYN.DE",45.595
"BAYN.DE",45.635
"BAYN.DE",45.69
"BAYN.DE",45.73
"BAYN.DE",45.75
"BAYN.DE",45.755
"BAYN.DE",45.79
"BAYN.DE",45.8
"BAYN.DE",45.82
"BAYN.DE",45.825
"BAYN.DE",45.85
"BAYN.DE",45.9
"BAYN.DE",45.965
