"Symbol","Price1","Sector"
"BAYN.DE",39.54,"Drug Manufacturers"
"BAYN.DE",39.55,"Drug Manufacturers"
"BAYN.DE",39.58,"Drug Manufacturers"
"BAYN.DE",39.6,"Drug Manufacturers"
"BAYN.DE",39.79,"Drug Manufacturers"
"BAYN.DE",39.82,"Drug Manufacturers"
"BAYN.DE",39.84,"Drug Manufacturers"
"BAYN.DE",39.88,"Drug Manufacturers"
"BAYN.DE",39.9,"Drug Manufacturers"
"BAYN.DE",39.98,"Drug Manufacturers"
"BAYN.DE",39.99,"Drug Manufacturers"
"BAYN.DE",40,"Drug Manufacturers"
"BAYN.DE",40.01,"Drug Manufacturers"
"BAYN.DE",40.04,"Drug Manufacturers"
"BAYN.DE",40.05,"Drug Manufacturers"
"BAYN.DE",40.08,"Drug Manufacturers"
"BAYN.DE",40.1,"Drug Manufacturers"
"BAYN.DE",40.12,"Drug Manufacturers"
"BAYN.DE",40.2,"Drug Manufacturers"
"BAYN.DE",40.23,"Drug Manufacturers"
